epoch,acc,loss,val_acc,val_loss
0,0.9201171875,0.29511464625597,0.9278515625,0.22876053798943757
1,0.928828125,0.22201376020908356,0.930390625,0.2097925717383623
2,0.932890625,0.20263094276189805,0.9487109375,0.13212066907668485
3,0.9329937304822629,0.19540067334720707,0.9417319750711088,0.1532227043260975
4,0.9383984375,0.17728878535330295,0.942890625,0.1446086650993675
5,0.940625,0.16910178273916243,0.940625,0.16212753437459468
6,0.9416015625,0.16204197011888027,0.9695703125,0.07766649078577757
7,0.9416144200253262,0.15806618127329597,0.9429467084639498,0.14846608030571834
8,0.9423046875,0.1642203164845705,0.9402734375,0.16985834861567128
9,0.948359375,0.14560194112360478,0.9491796875,0.13798901602625846
10,0.9494921875,0.14046358983963728,0.973671875,0.07001521721482278
11,0.9450235110838959,0.14588525708192568,0.9602272727646424,0.10828104040185486
12,0.9487109375,0.14209217481315137,0.9610546875,0.0992480415605678
13,0.952734375,0.12723164431750775,0.952734375,0.12362265294417739
14,0.953359375,0.12378141049295664,0.9701171875,0.08310837915167213
15,0.9552507835869505,0.11862976021340649,0.9599137929539695,0.0989491591749707
16,0.954375,0.12250766165554523,0.97546875,0.05966161249029028
17,0.95625,0.11666942432522774,0.9596875,0.10865124469622969
18,0.955078125,0.11498216822743416,0.965546875,0.08877437097020448
19,0.9586990594490195,0.11109369128101672,0.9684561127031859,0.0734162408566587
